D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
123556|2002|4 door|Lexus|sedan|grey|130000|1200.0
0|2002|Ford|Wrangler|Truck|Blue|120000|5000.0
5095|2024|Toyota|Camry|Car|Yellow|4000|500.0
0|2024|BMW|5 series|car|black|400000|30000.0
3434|2002|camry|lexus|car|Yellow|30000|20000.0
1111|2002|lexus|camry|car|Yellow|60000|7.0
1234|2002|Ford|Explorer|Truck|White|400000|1000.0
